lang,method,min_df,max_features,lr,batch_size,dev_acc,test_acc
eng,bow,5,10000.0,1.0,32,0.8792372941970825,0.8850210905075073
eng,tfidf,3,10000.0,1.0,32,0.883474588394165,0.8987341523170471
xho,bow,3,10000.0,1.0,32,0.9251700639724731,0.875420868396759
xho,tfidf,0,,1.0,32,0.8639456033706665,0.8585858345031738
sna,bow,10,,1.0,128,0.9135135412216187,0.8915989398956299
sna,tfidf,5,10000.0,1.0,32,0.9027026891708374,0.9457994699478149
