lang,method,min_df,max_features,lr,batch_size,vocab_size,dev_acc
xho,bow,10,,0.1,128,3370,0.9047619104385376
xho,bow,10,,1.0,32,3370,0.8979591727256775
xho,bow,10,,1.0,128,3370,0.9047619104385376
xho,tfidf,0,10000.0,0.1,32,10000,0.6734693646430969
xho,tfidf,0,10000.0,0.1,128,10000,0.6598639488220215
xho,tfidf,0,10000.0,1.0,32,10000,0.8503401279449463
xho,tfidf,0,10000.0,1.0,128,10000,0.6938775777816772
xho,tfidf,0,,0.1,32,247300,0.6598639488220215
xho,tfidf,0,,0.1,128,247300,0.6734693646430969
xho,tfidf,0,,1.0,32,247300,0.8639456033706665
xho,tfidf,0,,1.0,128,247300,0.7482993006706238
xho,tfidf,3,10000.0,0.1,32,10000,0.6666666865348816
xho,tfidf,3,10000.0,0.1,128,10000,0.6666666865348816
xho,tfidf,3,10000.0,1.0,32,10000,0.8503401279449463
xho,tfidf,3,10000.0,1.0,128,10000,0.8503401279449463
xho,tfidf,3,,0.1,32,17129,0.6666666865348816
xho,tfidf,3,,0.1,128,17129,0.6598639488220215
xho,tfidf,3,,1.0,32,17129,0.8231292366981506
xho,tfidf,3,,1.0,128,17129,0.8435373902320862
xho,tfidf,5,10000.0,0.1,32,8257,0.6734693646430969
xho,tfidf,5,10000.0,0.1,128,8257,0.6598639488220215
xho,tfidf,5,10000.0,1.0,32,8257,0.8503401279449463
xho,tfidf,5,10000.0,1.0,128,8257,0.8435373902320862
xho,tfidf,5,,0.1,32,8257,0.6666666865348816
xho,tfidf,5,,0.1,128,8257,0.6734693646430969
xho,tfidf,5,,1.0,32,8257,0.8571428656578064
xho,tfidf,5,,1.0,128,8257,0.8503401279449463
xho,tfidf,10,10000.0,0.1,32,3370,0.6666666865348816
xho,tfidf,10,10000.0,0.1,128,3370,0.6598639488220215
xho,tfidf,10,10000.0,1.0,32,3370,0.8571428656578064
xho,tfidf,10,10000.0,1.0,128,3370,0.6394557952880859
xho,tfidf,10,,0.1,32,3370,0.6666666865348816
xho,tfidf,10,,0.1,128,3370,0.6190476417541504
xho,tfidf,10,,1.0,32,3370,0.8503401279449463
xho,tfidf,10,,1.0,128,3370,0.8367347121238708
sna,bow,0,10000.0,0.1,32,10000,0.9027026891708374
sna,bow,0,10000.0,0.1,128,10000,0.8918918967247009
sna,bow,0,10000.0,1.0,32,10000,0.8918918967247009
sna,bow,0,10000.0,1.0,128,10000,0.8864864706993103
sna,bow,0,,0.1,32,230471,0.908108115196228
sna,bow,0,,0.1,128,230471,0.8972973227500916
sna,bow,0,,1.0,32,230471,0.9027026891708374
sna,bow,0,,1.0,128,230471,0.8918918967247009
sna,bow,3,10000.0,0.1,32,10000,0.9027026891708374
sna,bow,3,10000.0,0.1,128,10000,0.8918918967247009
sna,bow,3,10000.0,1.0,32,10000,0.8756756782531738
sna,bow,3,10000.0,1.0,128,10000,0.908108115196228
sna,bow,3,,0.1,32,24463,0.8972973227500916
sna,bow,3,,0.1,128,24463,0.9027026891708374
sna,bow,3,,1.0,32,24463,0.8918918967247009
sna,bow,3,,1.0,128,24463,0.8810811042785645
sna,bow,5,10000.0,0.1,32,10000,0.8972973227500916
sna,bow,5,10000.0,0.1,128,10000,0.9027026891708374
sna,bow,5,10000.0,1.0,32,10000,0.9027026891708374
sna,bow,5,10000.0,1.0,128,10000,0.9027026891708374
sna,bow,5,,0.1,32,12678,0.8918918967247009
sna,bow,5,,0.1,128,12678,0.8756756782531738
sna,bow,5,,1.0,32,12678,0.8810811042785645
sna,bow,5,,1.0,128,12678,0.8810811042785645
sna,bow,10,10000.0,0.1,32,5633,0.8918918967247009
sna,bow,10,10000.0,0.1,128,5633,0.8810811042785645
sna,bow,10,10000.0,1.0,32,5633,0.8972973227500916
sna,bow,10,10000.0,1.0,128,5633,0.8864864706993103
sna,bow,10,,0.1,32,5633,0.9027026891708374
sna,bow,10,,0.1,128,5633,0.8756756782531738
sna,bow,10,,1.0,32,5633,0.8864864706993103
sna,bow,10,,1.0,128,5633,0.9135135412216187
sna,tfidf,0,10000.0,0.1,32,10000,0.8486486673355103
sna,tfidf,0,10000.0,0.1,128,10000,0.4324324429035187
sna,tfidf,0,10000.0,1.0,32,10000,0.8864864706993103
sna,tfidf,0,10000.0,1.0,128,10000,0.8810811042785645
sna,tfidf,0,,0.1,32,230471,0.8324324488639832
sna,tfidf,0,,0.1,128,230471,0.6432432532310486
sna,tfidf,0,,1.0,32,230471,0.8864864706993103
sna,tfidf,0,,1.0,128,230471,0.8702702522277832
sna,tfidf,3,10000.0,0.1,32,10000,0.8540540337562561
sna,tfidf,3,10000.0,0.1,128,10000,0.4216216206550598
sna,tfidf,3,10000.0,1.0,32,10000,0.8972973227500916
sna,tfidf,3,10000.0,1.0,128,10000,0.8810811042785645
sna,tfidf,3,,0.1,32,24463,0.8540540337562561
sna,tfidf,3,,0.1,128,24463,0.7567567825317383
sna,tfidf,3,,1.0,32,24463,0.8864864706993103
sna,tfidf,3,,1.0,128,24463,0.8054053783416748
sna,tfidf,5,10000.0,0.1,32,10000,0.8594594597816467
sna,tfidf,5,10000.0,0.1,128,10000,0.8054053783416748
sna,tfidf,5,10000.0,1.0,32,10000,0.9027026891708374
sna,tfidf,5,10000.0,1.0,128,10000,0.8864864706993103
sna,tfidf,5,,0.1,32,12678,0.8540540337562561
sna,tfidf,5,,0.1,128,12678,0.800000011920929
sna,tfidf,5,,1.0,32,12678,0.8864864706993103
sna,tfidf,5,,1.0,128,12678,0.8756756782531738
sna,tfidf,10,10000.0,0.1,32,5633,0.8432432413101196
sna,tfidf,10,10000.0,0.1,128,5633,0.837837815284729
sna,tfidf,10,10000.0,1.0,32,5633,0.8864864706993103
sna,tfidf,10,10000.0,1.0,128,5633,0.8648648858070374
sna,tfidf,10,,0.1,32,5633,0.8594594597816467
sna,tfidf,10,,0.1,128,5633,0.7675675749778748
sna,tfidf,10,,1.0,32,5633,0.8972973227500916
sna,tfidf,10,,1.0,128,5633,0.837837815284729
